date,map,opponent,team,win,roundsWon,roundsLost
11/11/2018,Nuke,Chiefs,Grayhound,L,13,16
11/11/2018,Inferno,Chiefs,Grayhound,L,13,16
11/11/2018,Dust2,Chiefs,Grayhound,W,16,8
9/11/2018,Cache,madlikewizards,Grayhound,W,16,8
7/11/2018,Nuke,Chiefs,Grayhound,W,16,6
7/11/2018,Dust2,Chiefs,Grayhound,W,16,6
7/11/2018,Inferno,Chiefs,Grayhound,L,9,16
4/11/2018,Overpass,madlikewizards,Grayhound,W,16,9
4/11/2018,Cache,madlikewizards,Grayhound,W,16,8
1/11/2018,Mirage,Legacy,Grayhound,W,16,7
30/10/18,Dust2,Chiefs,Grayhound,W,16,11
30/10/18,Nuke,Chiefs,Grayhound,W,16,4
28/10/18,Inferno,Legacy,Grayhound,W,16,6
24/10/18,Mirage,ORDER,Grayhound,L,17,19
24/10/18,Dust2,ORDER,Grayhound,W,16,2
24/10/18,Cache,ORDER,Grayhound,L,14,16
18/10/18,Inferno,Chiefs,Grayhound,W,16,4
15/10/18,Mirage,madlikewizards,Grayhound,W,16,5
11/10/2018,Cache,Ground Zero,Grayhound,W,16,5
8/10/2018,Inferno,Dynasty,Grayhound,W,16,6
26/09/18,Nuke,Vizard,Grayhound,W,16,7
18/09/18,Dust2,seadoggs,Grayhound,W,16,4
5/9/2018,Overpass,anime savants,Grayhound,W,16,6
29/08/18,Mirage,Astralis,Grayhound,L,3,16
22/08/18,Cache,Taboo,Grayhound,W,16,6
16/08/18,Overpass,SYF,Grayhound,W,16,6
15/08/18,Overpass,Legacy,Grayhound,W,16,5
14/08/18,Cache,Chiefs,Grayhound,W,16,4
14/08/18,Inferno,Chiefs,Grayhound,W,16,4
14/08/18,Nuke,Chiefs,Grayhound,L,13,16
8/8/2018,Overpass,Rise and Grind,Grayhound,W,16,5
8/8/2018,Inferno,Rise and Grind,Grayhound,W,16,4
1/8/2018,Cache,TYLOO,Grayhound,L,10,16
28/07/18,Dust2,BOOT-d[S],Grayhound,W,16,14
28/07/18,Nuke,BOOT-d[S],Grayhound,W,16,10
9/7/2018,Dust2,SYF,Grayhound,W,16,5
5/7/2018,Cache,SYF,Grayhound,W,16,9
5/7/2018,Overpass,Conspiracy,Grayhound,W,16,4
5/7/2018,Mirage,Rise and Grind,Grayhound,W,16,1
3/7/2018,Inferno,Taboo,Grayhound,W,16,4
1/7/2018,Mirage,Ground Zero,Grayhound,W,16,10
26/06/18,Overpass,Chiefs,Grayhound,W,16,4
26/06/18,Nuke,Chiefs,Grayhound,W,16,13
24/06/18,Train,Tainted Minds,Grayhound,L,12,16
20/06/18,Mirage,Ground Zero,Grayhound,W,16,14
20/06/18,Inferno,Ground Zero,Grayhound,W,16,1
18/06/18,Overpass,Chiefs,Grayhound,W,16,5
18/06/18,Mirage,Dark Sided,Grayhound,W,16,11
15/06/18,Overpass,Dark Sided,Grayhound,W,16,2
13/06/18,Mirage,Corvidae,Grayhound,W,16,11
12/6/2018,Inferno,AVANT,Grayhound,W,16,10
12/6/2018,Mirage,Legacy,Grayhound,L,11,16
7/6/2018,Train,1UP,Grayhound,W,16,0
30/05/18,Train,Control,Grayhound,W,16,7
30/05/18,Mirage,Legacy,Grayhound,W,16,9
24/05/18,Cache,Surge,Grayhound,W,16,7
14/11/18,Cache,AGO,Astralis,W,16,11
10/11/2018,Inferno,fnatic,Astralis,W,19,17
10/11/2018,Mirage,fnatic,Astralis,L,12,16
10/11/2018,Dust2,fnatic,Astralis,W,16,14
8/11/2018,Inferno,FaZe,Astralis,L,15,19
8/11/2018,Mirage,FaZe,Astralis,L,7,16
6/11/2018,Nuke,MVP PK,Astralis,W,16,8
3/11/2018,Overpass,FaZe,Astralis,W,16,7
2/11/2018,Overpass,NiP,Astralis,L,14,16
1/11/2018,Overpass,LDLC,Astralis,W,22,19
31/10/18,Overpass,North,Astralis,W,16,13
30/10/18,Dust2,Windigo,Astralis,W,16,14
30/10/18,Mirage,Virtus.pro,Astralis,W,16,14
23/10/18,Nuke,mousesports,Astralis,W,16,10
23/10/18,Mirage,fnatic,Astralis,W,16,7
22/10/18,Train,OpTic,Astralis,W,16,9
20/10/18,Inferno,G2,Astralis,W,16,2
20/10/18,Dust2,Natus Vincere,Astralis,L,16,19
19/10/18,Nuke,Heroic,Astralis,W,16,9
19/10/18,Overpass,FaZe,Astralis,W,16,14
18/10/18,Train,fnatic,Astralis,W,16,4
17/10/18,Overpass,HellRaisers,Astralis,W,16,10
16/10/18,Mirage,G2,Astralis,W,16,2
16/10/18,Train,NiP,Astralis,L,7,16
6/10/2018,Inferno,North,Astralis,W,16,4
5/10/2018,Inferno,mousesports,Astralis,W,16,11
