,Name,kdr,maps_played,roundsPerMap,rounds_played,url,rating,Win,Tie,Loss,l3won,l3lost
0,Astralis,1.21,184,25.891304347826086,4764,https://www.hltv.org//stats/teams/6665/Astralis?startDate=2018-03-21&endDate=2018-11-21,1.18,149,0,35,47,44
1,FURIA,1.16,161,25.074534161490682,4037,https://www.hltv.org//stats/teams/8297/FURIA?startDate=2018-03-21&endDate=2018-11-21,1.16,115,2,44,48,13
2,Entity,1.16,32,26.0,832,https://www.hltv.org//stats/teams/7348/Entity?startDate=2018-03-21&endDate=2018-11-21,1.16,21,0,11,48,35
3,Grayhound,1.2,175,25.17142857142857,4405,https://www.hltv.org//stats/teams/8008/Grayhound?startDate=2018-03-21&endDate=2018-11-21,1.15,133,0,42,41,37
4,Valiance,1.1,205,26.29268292682927,5390,https://www.hltv.org//stats/teams/8481/Valiance?startDate=2018-03-21&endDate=2018-11-21,1.14,124,1,80,46,29
5,Uniquestars,1.06,23,25.26086956521739,581,https://www.hltv.org//stats/teams/7739/Uniquestars?startDate=2018-03-21&endDate=2018-11-21,1.14,14,0,9,48,25
6,OpTic India,1.13,22,25.363636363636363,558,https://www.hltv.org//stats/teams/9167/OpTic%20India?startDate=2018-03-21&endDate=2018-11-21,1.13,17,0,5,52,31
7,Não Tem Como,1.11,56,25.089285714285715,1405,https://www.hltv.org//stats/teams/6267/N%C3%A3o%20Tem%20Como?startDate=2018-03-21&endDate=2018-11-21,1.13,34,0,22,37,35
8,ORDER,1.15,189,25.386243386243386,4798,https://www.hltv.org//stats/teams/8668/ORDER?startDate=2018-03-21&endDate=2018-11-21,1.12,133,0,56,48,19
9,Natus Vincere,1.11,159,26.37735849056604,4194,https://www.hltv.org//stats/teams/4608/Natus%20Vincere?startDate=2018-03-21&endDate=2018-11-21,1.12,105,0,54,27,42
10,Beyond,1.09,104,24.932692307692307,2593,https://www.hltv.org//stats/teams/8262/Beyond?startDate=2018-03-21&endDate=2018-11-21,1.12,60,0,44,48,33
11,Tainted Minds,1.11,154,25.058441558441558,3859,https://www.hltv.org//stats/teams/7517/Tainted%20Minds?startDate=2018-03-21&endDate=2018-11-21,1.12,102,0,52,46,30
12,MIBR,1.13,109,25.889908256880734,2822,https://www.hltv.org//stats/teams/9215/MIBR?startDate=2018-03-21&endDate=2018-11-21,1.12,71,1,37,48,20
13,ViCi,1.15,33,26.363636363636363,870,https://www.hltv.org//stats/teams/7606/ViCi?startDate=2018-03-21&endDate=2018-11-21,1.12,26,0,7,48,26
14,NRG,1.1,207,25.78743961352657,5338,https://www.hltv.org//stats/teams/6673/NRG?startDate=2018-03-21&endDate=2018-11-21,1.12,137,0,70,54,33
15,Bpro,1.09,153,25.50326797385621,3902,https://www.hltv.org//stats/teams/6762/Bpro?startDate=2018-03-21&endDate=2018-11-21,1.11,102,0,51,39,40
16,Vitality,1.2,33,25.0,825,https://www.hltv.org//stats/teams/9565/Vitality?startDate=2018-03-21&endDate=2018-11-21,1.11,25,0,8,44,30
17,TeamOne,1.11,169,25.40828402366864,4294,https://www.hltv.org//stats/teams/6947/TeamOne?startDate=2018-03-21&endDate=2018-11-21,1.11,103,0,66,44,23
18,Windigo,1.04,240,26.020833333333332,6245,https://www.hltv.org//stats/teams/8513/Windigo?startDate=2018-03-21&endDate=2018-11-21,1.11,146,1,93,43,23
19,1337HUANIA,1.04,22,25.59090909090909,563,https://www.hltv.org//stats/teams/7552/1337HUANIA?startDate=2018-03-21&endDate=2018-11-21,1.11,13,0,9,30,38
20,exDT,1.08,17,26.176470588235293,445,https://www.hltv.org//stats/teams/8906/exDT?startDate=2018-03-21&endDate=2018-11-21,1.11,12,0,5,51,26
21,Imperial,1.1,55,25.527272727272727,1404,https://www.hltv.org//stats/teams/9455/Imperial?startDate=2018-03-21&endDate=2018-11-21,1.1,37,0,18,23,48
22,Imperial,1.09,175,26.045714285714286,4558,https://www.hltv.org//stats/teams/7701/Imperial?startDate=2018-03-21&endDate=2018-11-21,1.1,110,0,65,23,48
23,PAPERPLANES,1.03,29,25.96551724137931,753,https://www.hltv.org//stats/teams/8997/PAPERPLANES?startDate=2018-03-21&endDate=2018-11-21,1.1,14,0,15,36,41
24,ENCE,1.09,166,26.879518072289155,4462,https://www.hltv.org//stats/teams/4869/ENCE?startDate=2018-03-21&endDate=2018-11-21,1.1,108,0,58,41,55
25,SkitLite,0.91,17,27.352941176470587,465,https://www.hltv.org//stats/teams/6263/SkitLite?startDate=2018-03-21&endDate=2018-11-21,1.1,5,0,12,21,48
26,Swole Patrol,1.1,220,25.527272727272727,5616,https://www.hltv.org//stats/teams/7726/Swole%20Patrol?startDate=2018-03-21&endDate=2018-11-21,1.1,136,0,84,48,22
27,ownage,1.24,18,22.944444444444443,413,https://www.hltv.org//stats/teams/5670/ownage?startDate=2018-03-21&endDate=2018-11-21,1.1,14,0,4,48,17
28,cantwinalan,1.09,26,26.653846153846153,693,https://www.hltv.org//stats/teams/9515/cantwinalan?startDate=2018-03-21&endDate=2018-11-21,1.1,16,1,9,60,42
29,fish123,1.11,19,25.0,475,https://www.hltv.org//stats/teams/6298/fish123?startDate=2018-03-21&endDate=2018-11-21,1.1,13,0,6,44,21
30,Invictus,0.96,17,25.941176470588236,441,https://www.hltv.org//stats/teams/7231/Invictus?startDate=2018-03-21&endDate=2018-11-21,1.1,8,0,9,31,46
31,CyberZen,1.08,108,26.37962962962963,2849,https://www.hltv.org//stats/teams/6503/CyberZen?startDate=2018-03-21&endDate=2018-11-21,1.1,68,0,40,48,18
32,Virtue,1.13,87,24.919540229885058,2168,https://www.hltv.org//stats/teams/7830/Virtue?startDate=2018-03-21&endDate=2018-11-21,1.1,57,3,27,48,25
33,HAVU,1.1,147,25.979591836734695,3819,https://www.hltv.org//stats/teams/7865/HAVU?startDate=2018-03-21&endDate=2018-11-21,1.1,95,0,52,40,32
34,SK,1.05,75,26.653333333333332,1999,https://www.hltv.org//stats/teams/6137/SK?startDate=2018-03-21&endDate=2018-11-21,1.1,44,0,31,43,36
35,Fierce Tiger,1.03,25,29.0,725,https://www.hltv.org//stats/teams/9030/Fierce%20Tiger?startDate=2018-03-21&endDate=2018-11-21,1.1,13,0,12,46,39
36,Ignite,1.05,32,26.46875,847,https://www.hltv.org//stats/teams/8706/Ignite?startDate=2018-03-21&endDate=2018-11-21,1.09,17,0,15,48,41
37,Kinguin,1.08,213,26.906103286384976,5731,https://www.hltv.org//stats/teams/6134/Kinguin?startDate=2018-03-21&endDate=2018-11-21,1.09,129,0,84,46,36
38,BOOT-d[S],1.07,161,25.4472049689441,4097,https://www.hltv.org//stats/teams/7567/BOOT-d%5BS%5D?startDate=2018-03-21&endDate=2018-11-21,1.09,91,0,70,37,39
39,mousesports,1.05,200,26.175,5235,https://www.hltv.org//stats/teams/4494/mousesports?startDate=2018-03-21&endDate=2018-11-21,1.09,114,0,86,48,23
40,Great Danes,1.0,55,27.0,1485,https://www.hltv.org//stats/teams/8971/Great%20Danes?startDate=2018-03-21&endDate=2018-11-21,1.09,23,0,32,26,48
